term,term_introduced_by,valid_terminology,hanyu_pinyin,translation_type,english_equivalent,sanskrit_equivalent,old_chinese,later_han,middle_chinese,notes,document_frequency,error,validation
色,An Shigao,True,sè,New meaning,"Form, matter, appearance, color",rūpa,?,?,?,"In Buddhism, '色' primarily translates Sanskrit 'rūpa', referring to 'form' or 'matter' as one of the five skandhas (aggregates). It encompasses physical phenomena, including the body and sense objects. It also retains its common meaning of 'color' or 'appearance'.",317,,
痛,An Shigao,True,tòng,Semantic,"pain, suffering, ache, agony",duḥkha,?,?,?,"Refers to physical or mental pain and suffering; often associated with the Buddhist concept of *duḥkha* (suffering), which encompasses all forms of dissatisfaction and suffering.",96,,
想,An Shigao,True,xiǎng,Semantic,perception; conception; thought,saṃjñā,?,?,?,"In Buddhist philosophy, 想 (xiǎng) corresponds to the Sanskrit term saṃjñā, referring to perception or conception. It is the third of the five skandhas (aggregates) that constitute an individual, responsible for identifying and distinguishing objects.",231,,
識,An Shigao,True,shí,New meaning,Consciousness; discernment; cognition,vijñāna,?,?,?,"A fundamental concept in Buddhism, often discussed in the context of the Five Skandhas (五蘊) and the Eight Consciousnesses (八識). It refers to the faculty of discernment or cognition that forms our experience of reality, taking on a specialized philosophical sense beyond its ordinary meaning.",385,,
思想種,An Shigao,False,sīxiǎng zhǒng,Generic phrase,seed of thought,,,,,"While '種' (bīja) is a fundamental Buddhist concept referring to latent potentials for mental and physical phenomena, and '思想' means thought, the compound '思想種' is not recognized as a specific, established technical term within canonical Buddhist literature. It is a descriptive phrase, or a modern construct, consistent with the general concept of seeds of mental phenomena.",2,,
更,An Shigao,False,"gēng, gèng",Partial term,"more, further, again, even more, to change, to correct",?,?,?,?,"The character '更' is a common Chinese word meaning 'more, further, again, or to change'. While it frequently appears in Buddhist scriptures as a grammatical particle or common verb/adverb, it does not represent a specific Buddhist technical term or concept in itself. Therefore, it is categorized as a partial term rather than valid Buddhist terminology.",9,,
識種,An Shigao,True,shì zhǒng,Semantic,seeds of consciousness; consciousness-seeds,vijñānabīja,,,,"In Yogācāra Buddhism, '識種' (vijñānabīja) refers to the latent traces or causal potentials (bīja) of past actions, experiences, and defilements that are stored in the ālayavijñāna (store-consciousness). These 'seeds' are said to mature and 'sprout' into present and future mental phenomena, including various forms of consciousness, perceptions, and defilements, thereby sustaining the cycle of existence.",21,,
非常,An Shigao,True,fēicháng,Semantic,impermanent; inconstant; extraordinary,anitya,,,,"'非常' directly translates the Sanskrit term 'anitya', meaning impermanence or inconstancy, which is a fundamental doctrine in Buddhism. It refers to the transient and non-enduring nature of all conditioned phenomena. While it can also mean 'extraordinary' or 'unusual' in general Chinese, its primary Buddhist meaning is tied to impermanence.",32,,
苦,An Shigao,True,kǔ,Semantic,suffering,duḥkha,?,?,?,"One of the Four Noble Truths (苦集滅道), referring to the nature of existence as unsatisfactory, painful, or stressful.",458,,
空,An Shigao,True,kōng,New meaning,Emptiness,śūnyatā,,,,"In Buddhist philosophy, '空' (kōng) specifically denotes śūnyatā (emptiness), a fundamental concept signifying the lack of inherent existence or self-nature. This represents a new, specialized philosophical meaning for the character beyond its common pre-Buddhist uses (e.g., empty, void, sky).",584,,
非身,An Shigao,True,fēi shēn,Semantic,non-body; not self (in relation to the body),na kāya,,,,"Refers to the Buddhist doctrine that the body is not the self, a specific application of the anātman (non-self) concept.",43,,
斷知,An Shigao,False,duàn zhī,Generic phrase,to cut off knowing; to discontinue knowledge,,?,?,twanH trie,"The term '斷知' (duàn zhī) is not identified as a standard Buddhist technical term in common dictionaries. '斷' (duàn) means 'to sever' or 'to cut off,' often referring to defilements or negative actions in Buddhism. '知' (zhī) means 'to know' or 'knowledge.' Thus, '斷知' literally translates to 'to cut off knowing' or 'to discontinue knowledge.' While these individual characters are common in Buddhist discourse, their combination '斷知' does not form a recognized compound term with a specific doctrinal meaning. It may function as a descriptive phrase in specific contexts but lacks the status of a defined Buddhist terminology.",7,,
愛欲,An Shigao,True,àiyù,Semantic,sensual desire,kāma-rāga,,,,"Refers to attachment and craving, especially sensual desire, which is considered a fundamental cause of suffering (dukkha) and rebirth in Buddhist teachings. It is often equated with Sanskrit *kāma-rāga* (sensual passion) or *rāga* (passion, attachment), and is a form of the 'greed' aspect of the three poisons.",139,,
十八本持,An Shigao,False,shíbā běnchí,Generic phrase,eighteen original holdings,,,,,This term does not appear to be a standard or recognized technical term in Buddhist terminology. It is a literal combination of 'eighteen' (十八) and 'original holding' or 'fundamental upholding' (本持).,4,,
十二入,An Shigao,True,shí èr rù,Semantic,Twelve Bases,dvādaśāyatana,?,?,?,"The twelve āyatanas (bases/entrances) refer to the six sense organs (eyes, ears, nose, tongue, body, mind) and their corresponding six sense objects (forms, sounds, smells, tastes, tangibles, mental objects). They are fundamental to the Buddhist understanding of perception and the arising of consciousness.",112,,
四諦,An Shigao,True,sì dì,Semantic,Four Noble Truths,catvāri āryasatyāni,,,,"The Four Noble Truths are one of the most fundamental doctrines of Buddhism, describing the nature of suffering (dukkha), its origin (samudaya), its cessation (nirodha), and the path to its cessation (magga).",231,,
習,An Shigao,True,xí,Semantic,"practice, habit",abhyāsa,?,?,?,"The character 習 (xí) is a fundamental term used in Buddhist contexts. It primarily means 'to practice', 'to learn', or 'habit'. It forms part of significant Buddhist terms such as 修習 (xiūxí, meaning cultivation, practice, often corresponding to bhāvanā or abhyāsa) and 習氣 (xíqì, meaning karmic habit or latent impression, corresponding to vāsanā).",95,,
盡,An Shigao,True,jìn,Semantic,"to exhaust, to finish, to terminate, all, completely, utmost",kṣaya,?,?,?,"A fundamental term meaning 'to exhaust, finish, all, completely'. Often appears in compounds such as 盡形壽 (jìn xíng shòu, for the duration of one's life) or 盡未來際 (jìn wèi lái jì, for all future kalpas), indicating completion or thoroughness. It is widely used in Buddhist texts.",55,,
道,An Shigao,True,dào,New meaning,"way, path, truth, doctrine, enlightenment, bodhi","mārga, bodhi, satya",*lˤuʔ,dâu,dʌuᴴ,,306,,
止,An Shigao,True,zhǐ,Semantic,cease; stop; calm; tranquilization; calm abiding,śamatha,?,?,?,"'止' is a fundamental Buddhist term, often paired with '觀' (guān) to form '止觀' (zhǐguān), which translates to śamatha-vipaśyanā. In this context, '止' specifically refers to 'calm abiding' or 'tranquilization', the practice of stabilizing the mind.",43,,
觀,An Shigao,True,guān,Semantic,contemplation; insight; observation; visualization,vipaśyanā; darśana,?,?,?,"A key term in Buddhist meditation, often paired with 止 (zhǐ, śamatha) to form 止觀 (zhǐguān), meaning 'calm-abiding and insight' or 'śamatha-vipaśyanā'. It refers to the mental faculty of discerning and understanding the nature of reality.",99,,
四意止,An Shigao,True,sì yì zhǐ,Semantic,four foundations of mindfulness; four applications of mindfulness,catvāri smṛtyupasthānāni,,,,"Refers to the four aspects of establishing mindfulness: mindfulness of the body, feelings, mind, and dharmas. It is a fundamental practice in Buddhist meditation.",97,,
四意斷,An Shigao,True,sì yì duàn,Semantic,Four right exertions; Four right efforts; Four right endeavors,catvāri prahāṇāni; catvāri samyakprahāṇāni,?,?,?,"Refers to the four efforts a practitioner makes: 1. to prevent unwholesome states from arising, 2. to abandon unwholesome states that have arisen, 3. to cultivate wholesome states, and 4. to maintain wholesome states that have arisen. Also known as 四正勤 (sì zhèng qín).",60,,
四神足,An Shigao,True,sì shén zú,Semantic,Four bases of spiritual power; four roads to supernatural power; four psychic powers,catvāra ṛddhipādāḥ,?,?,?,"One of the thirty-seven factors conducive to enlightenment (bodhipakṣadharmāḥ). It refers to the four components that enable the attainment of spiritual or magical powers (ṛddhi): concentration due to zeal (chanda-samādhi), concentration due to energy (vīrya-samādhi), concentration due to thought (citta-samādhi), and concentration due to investigation (mīmāṃsā-samādhi).",94,,
五根,An Shigao,True,wǔgēn,Semantic,Five Roots; Five Faculties; Five Indriyas,pañcendriyāṇi,?,?,?,"The Five Roots (or Faculties) are fundamental Buddhist concepts representing the five spiritual faculties that lead to liberation: faith (śraddhā), energy (vīrya), mindfulness (smṛti), concentration (samādhi), and wisdom (prajñā).",231,,
五力,An Shigao,True,Wǔlì,Semantic,Five powers,pañca balāni,,,,"Refers to the five spiritual powers, which are: faith (śraddhā-bala), vigor (vīrya-bala), mindfulness (smṛti-bala), concentration (samādhi-bala), and wisdom (prajñā-bala). These powers are cultivated to overcome obstacles and achieve spiritual progress.",166,,
七覺意,An Shigao,True,qī jué yì,Semantic,Seven Factors of Enlightenment,saptabodhyaṅga,,,,"Refers to the seven constituents of enlightenment: mindfulness (念), discrimination of phenomena (擇法), effort/energy (精進), joy/rapture (喜), tranquility/relaxation (輕安), concentration (定), and equanimity (捨). They are part of the 37 Factors of Enlightenment (三十七道品).",109,,
辟支佛,An Shigao,True,pìzhīfó,Transliteration,"Pratyekabuddha, Solitary Buddha",Pratyekabuddha,/*phraːk/ /*kjə/ /*put/,pʰɛk tɕi but,/*phek̚/ /*tɕiᴇ/ /*put̚/,"The term '辟支佛' (pìzhīfó) is a phonetic transliteration of the Sanskrit term 'Pratyekabuddha'. A Pratyekabuddha is an individual who attains enlightenment or nirvana by themselves, without the guidance of a Buddha or a teacher, often during a period when there is no living Buddha in the world. They typically do not teach others but realize the truth through observing the principle of dependent origination (pratītyasamutpāda) in nature or through their own efforts.",471,,
佛弟子,An Shigao,True,Fó dìzǐ,Semantic,Buddhist disciple; disciple of the Buddha,buddhaśiṣya,,,,"Refers to a follower or student of the Buddha, one who adheres to the Buddha's teachings and practices.",124,,
清淨法,An Shigao,True,qīngjìng fǎ,Semantic,Pure Dharma; pure qualities; undefiled states,śuddha dharma,,,,"Refers to the pure or undefiled teachings, qualities, or states of existence in Buddhism. It can describe the Dharma itself when free from defilement, or the pure mental states and attributes achieved through spiritual practice.",24,,
欲定,An Shigao,True,yù dìng,Semantic,concentration of will; samādhi of desire,chandasamādhi,?,?,?,"One of the four bases of spiritual power (四神足, iddhipāda), referring to the concentration achieved through strong will or desire to attain enlightenment.",12,,
精進定,An Shigao,True,jīngjìn dìng,Semantic,samādhi of exertion; concentration of diligence,vīrya-samādhi,,,,A type of samādhi (concentration or meditative absorption) characterized by diligent effort (vīrya) and vigorous application in spiritual practice. It refers to the state of meditative stability achieved through perseverance and energy.,17,,
意定,An Shigao,True,yìdìng,Semantic,mental absorption; concentration through intention,saṃkalpa-samādhi,,,,A Buddhist term referring to a type of concentration (samādhi) that is achieved or arises from one's own intention or thought. It is often translated as 'mental absorption' or 'concentration through intention'.,13,,
戒定,An Shigao,True,jièdìng,Semantic,precepts and concentration; discipline and meditative absorption,śīla-samādhi,?,?,?,"Refers to the first two of the Three Learnings (三學), which are discipline (śīla), concentration (samādhi), and wisdom (prajñā).",8,,
信根,An Shigao,True,xìngēn,Semantic,faculty of faith; root of faith,śraddhā-indriya,?,?,?,"One of the Five Roots (五根, pañca-indriyāṇi) and Five Powers (五力, pañca-balāni). It signifies the spiritual faculty of faith or conviction.",100,,
精進根,An Shigao,True,jīngjìn gēn,Semantic,faculty of effort,vīryendriya,,,,"One of the Five Roots (五根, pañca indriyāṇi), which are faculties that lead to spiritual development.",55,,
念根,An Shigao,True,niàn gēn,Semantic,Root of mindfulness; Faculty of mindfulness,smṛtīndriya,,,,"This is one of the Five Roots (五根, pañcendriyāṇi), which include faith (信根 śraddhendriya), vigor (精進根 vīryendriya), mindfulness (念根 smṛtīndriya), concentration (定根 samādhīndriya), and wisdom (慧根 prajñendriya). These roots are fundamental faculties that lead to liberation and are also part of the Thirty-seven Factors of Enlightenment (三十七道品).",55,,
定根,An Shigao,True,dìnggēn,Semantic,faculty of concentration; root of concentration,samādhi-indriya,,,,"One of the Five Spiritual Faculties (五根, pañcendriya), representing the faculty of concentrated absorption. It is also one of the Five Powers (五力, pañcabala), in which case it is often translated as 'power of concentration'.",62,,
慧根,An Shigao,True,huìgēn,Semantic,Root of wisdom; Faculty of wisdom,prajñā-indriya,,,,"慧根 (huìgēn) refers to the spiritual capacity or faculty for wisdom and insight. It is one of the Five Roots (五根, pañca indriyāṇi), which are spiritual faculties that should be cultivated for spiritual progress: faith (信根), vigor (精進根), mindfulness (念根), concentration (定根), and wisdom (慧根). It is considered a fundamental aspect for spiritual development in Buddhism.",75,,
信力,An Shigao,True,xìn lì,Semantic,Power of faith; strength of faith; power of conviction,śraddhābala,?,?,?,"Part of the five powers (pañcabala) and five roots (pañcendriya). It refers to the power generated by firm conviction in the Dharma, the Buddha, and the Saṅgha.",44,,
精進力,An Shigao,True,jīngjìn lì,Semantic,power of diligence; power of effort; power of energy,vīrya-bala,,,,"This is one of the pañca balāni (五力, five powers), which are śraddhā-bala (faith), vīrya-bala (effort/diligence), smṛti-bala (mindfulness), samādhi-bala (concentration), and prajñā-bala (wisdom).",50,,
念力,An Shigao,True,niànlì,Semantic,power of mindfulness; power of recollection,smṛti-bala,,,,This term refers to the power derived from strong mindfulness or recollection. It is one of the five powers (pañca-balāni) and also a component of the seven factors of enlightenment (smṛti-saṃbodhy-aṅga).,38,,
定力,An Shigao,True,dìnglì,Semantic,"power of concentration, strength of samādhi",samādhibala,?,?,?,"Refers to the strength or power developed through meditative concentration (samādhi), enabling one to maintain a focused and stable mind. It is often counted among the five powers (五力, pañcabala) and seven factors of enlightenment (七覺支, saptabodhyaṅga).",52,,
慧力,An Shigao,True,Huìlì,Semantic,Power of wisdom,Prajñā-bala,?,?,?,"Refers to the power of wisdom or discernment, often discussed as one of the five powers (pañca-balāni) and among the seven factors of enlightenment (saptabodhyanga). It signifies the ability to perceive and understand truth, overcoming defilements.",45,,
念覺意,An Shigao,True,niàn jué yì,Semantic,Mindfulness (as a factor of awakening),smṛti-bodhyaṅga,,,,"This term refers to mindfulness as one of the Seven Factors of Awakening (七覺意 / 七覺支, sapta-bodhyaṅga).",20,,
精進覺意,An Shigao,True,jīng jìn jué yì,Semantic,Diligent awakened intention,vīrya-bodhyaṅga,?,?,?,"The term combines '精進' (diligence, vīrya) and '覺意' (awakened intention or mind of awakening). '覺意' often functions as an alternative rendering or interpretation of '覺支' (bodhyaṅga, factor of enlightenment), referring to the mental aspect or intention related to awakening. It appears in canonical texts as one of the factors leading to enlightenment, particularly in lists parallel to the Seven Factors of Enlightenment.",23,,
猗覺意,An Shigao,False,yī jué yì,Partial term,Rely on/beautiful awakened mind,?,?,?,?,"This exact three-character combination is not widely recognized as a standard Buddhist term or specific transliteration in major Buddhist dictionaries. '猗' (yī) can function as an interjection, or mean 'rely on' or 'beautiful/luxuriant'. '覺' (jué) means 'awaken' or 'perceive'. '意' (yì) means 'mind' or 'intention'. '覺意' as a compound could be interpreted as 'awakened mind' or 'mind of awakening'. Thus, a possible semantic interpretation for the full phrase is 'rely on the awakened mind' or 'beautiful awakened mind', but it is not a unified technical term.",17,,
定覺意,An Shigao,False,dìng jué yì,Generic phrase,Mind/intention of concentration and awakening,,,,,"While '定 (dìng)' (samādhi/concentration) and '覺 (jué)' (bodhi/awakening) are fundamental Buddhist concepts, and '意 (yì)' (mind/intention) is also a common term, '定覺意' does not appear as a single, established technical term in major Buddhist lexicons. It is a descriptive phrase combining these concepts, suggesting 'the mind or intention characterized by concentration and awakening'.",23,,
護覺意,An Shigao,True,hù jué yì,Semantic,To guard the bodhi-mind,bodhicittarakṣaṇa,,,,This term refers to the act of protecting or maintaining one's aspiration for enlightenment or the mind dedicated to awakening. Found in Buddhist texts such as the Saṃyukta Āgama (雜阿含經 T 99.2.182c23).,22,,
直見,An Shigao,True,zhí jiàn,Semantic,direct perception,pratyakṣa,?,?,d͡ʑĭk kjenH,"'直見' refers to a direct, unmediated perception or insight, often contrasted with conceptual understanding or inferential knowledge. It implies seeing reality as it is, without the intervention of thoughts or interpretations. It is similar in meaning to 'pratyakṣa' (direct cognition), though 'pratyakṣa' is more commonly translated as 現量 (xiànliàng). The term can also relate to direct realization of the nature of reality or 'right view' (samyag-dṛṣṭi) in its unmediated aspect.",12,,
直語,An Shigao,True,zhíyǔ,Semantic,direct language; straight speech,ṛjūvāk; ṛjuvākya,?,?,?,"Refers to honest, straightforward speech, without flattery, embellishment, or evasiveness. It emphasizes truthfulness and directness in communication, often contrasted with deceptive or indirect language.",9,,
直治,An Shigao,False,Zhí zhì,Partial term,Direct governance; to rectify and govern,,,,,"This term does not appear to be a standard or recognized Buddhist technical term. In general Chinese, it means 'direct governance' or 'to rectify and govern'.",6,,
直方便,An Shigao,True,zhí fāng biàn,Semantic,"direct expedient means, straightforward skillful means",ṛjūpāya,?,?,?,"This term refers to a direct method of teaching the Dharma, which reveals the ultimate truth immediately without resorting to indirect or gradual steps. It is often contrasted with 'indirect expedient means' (迴方便, huí fāng biàn) and is associated with sudden enlightenment and direct paths to Buddhahood in some Mahayana traditions.",10,,
直意,An Shigao,False,zhíyì,Generic phrase,literal meaning; direct meaning,,,,,"While '直意' is commonly used in general Chinese to refer to the literal or direct meaning of words and is applied in discussions about interpreting Buddhist texts, it is not considered a specific technical term or concept within Buddhist philosophy or doctrine itself. It serves as a general linguistic descriptor.",8,,
直定,An Shigao,False,zhídìng,Partial term,direct concentration,,,,,"While '定' (dìng) is a fundamental Buddhist term for concentration or samādhi, and '直' (zhí) meaning 'direct' or 'straight' can appear in Buddhist contexts (e.g., 直心 'straight mind'), the compound '直定' is not recognized as a standard Buddhist technical term in major dictionaries or texts. It appears to be a descriptive phrase rather than a defined concept.",10,,
戒種,An Shigao,True,jièzhǒng,Semantic,Seed of precepts,śīla-gotra,?,?,?,Refers to the inherent potential or capacity (gotra) within sentient beings to cultivate and observe Buddhist precepts (śīla).,2,,
定種,An Shigao,True,dìng zhǒng,Semantic,fixed nature; fixed lineage,niyata-gotra,tenH trjonX,ting tjung,teng trjungX,"A key concept in Yogācāra philosophy, referring to the predetermined spiritual potential or destiny of a being, particularly in relation to the five natures (五種姓, pañca gotrāṇi).",3,,
慧種,An Shigao,True,huì zhǒng,Semantic,seed of wisdom; seed of prajñā,prajñābīja,,,,"慧種 (huì zhǒng) refers to the 'seed of wisdom' or 'seed of prajñā'. In Buddhist contexts, it signifies the latent potential or inherent capacity within sentient beings to develop wisdom and attain enlightenment. It can also refer to the wholesome roots or virtuous actions that plant the 'seeds' for future wisdom.",3,,
瞋恚,An Shigao,True,chēn huì,Semantic,anger; hatred; aversion; ill-will,dveṣa,,,,"This term represents one of the three poisons (三毒, traividhya) in Buddhism. Pronunciations for 瞋 (chēn): Old Chinese: *thˤr-n, Later Han: *tjin, Middle Chinese (Baxter-Sargart): t̠ɨn. Pronunciations for 恚 (huì): Old Chinese: *quj-s, Later Han: *hjujH, Middle Chinese (Baxter-Sargart): hjwejH.",459,,
慳,An Shigao,True,qiān,Semantic,"avarice, stinginess, miserliness",mātsarya,*kʰˤian,kʰen,kʰˤɛn,"慳 (mātsarya) is a Buddhist term referring to avarice or stinginess, often listed as one of the kleshas (afflictions) or unwholesome mental factors. It is the unwillingness to share one's possessions or good qualities with others.",57,,
癡,An Shigao,True,chī,Semantic,"ignorance, delusion, stupidity",moha,?,?,?,"One of the three poisons (三毒) in Buddhism, alongside greed (貪, rāga) and hatred (瞋, dveṣa). It represents mental delusion and lack of wisdom, a fundamental impediment to enlightenment.",251,,
欲界,An Shigao,True,yùjiè,Semantic,Desire Realm; Realm of Desire,Kāmadhātu,?,?,?,"The Desire Realm is the lowest of the three realms (Triloka) in Buddhist cosmology, characterized by the presence of desires for sensual pleasures, food, and sleep. It includes hells, hungry ghosts, animals, humans, and six classes of devas.",379,,
色界,An Shigao,True,Sèjiè,Semantic,Form Realm,Rūpadhātu,?,?,?,"In Buddhist cosmology, the Form Realm (Rūpadhātu) is one of the three realms (triloka), situated above the Desire Realm (Kāmadhātu) and below the Formless Realm (Ārūpadhātu). It is inhabited by devas who have attained certain meditative states (jhānas) and are free from gross sensual desires, but still possess subtle forms.",267,,
無有色界,An Shigao,True,wú yǒu sè jiè,Semantic,The Formless Realm; Realm of Formlessness; Immaterial Realm,arūpadhātu,,,,"This term refers to the highest of the three realms (triloka) in Buddhist cosmology, inhabited by beings without physical form. It is more commonly known as 無色界 (wúsèjiè), with the character '有' (yǒu) sometimes omitted or serving as a reinforcing particle here.",2,,
四瘡,An Shigao,True,sì chuāng,Semantic,four sores; four boils; four pustules,catvāri vraṇāni,,,,"This term refers to the human body being likened to a collection of four sores or boils, symbolizing its inherent suffering, impermanence, and impurity. It often relates to the four great elements (地水火風) that compose the body, emphasizing their nature as sources of decay and pain. It appears in Buddhist texts such as the Dīrghāgama (長阿含經) and Mahāprajñāpāramitā Upadeśa (大智度論).",2,,
三痛,An Shigao,True,sāntòng,Semantic,three pains,tri-duḥkha,,,,"This term is synonymous with 三苦 (sān kǔ), which refers to the three kinds of suffering: the suffering of suffering (duḥkha-duḥkhatā), the suffering of change (vipariṇāma-duḥkhatā), and the suffering of conditioned existence (saṃskāra-duḥkhatā).",8,,
三界,An Shigao,True,sān jiè,Semantic,"Three Realms, Triple World","triloka, traidhātuka",?,?,?,"Refers to the three realms of existence in Buddhist cosmology: the Desire Realm (欲界, Kāmadhātu), where beings are subject to sensual desires; the Form Realm (色界, Rūpadhātu), where beings have transcended sensual desires but still possess subtle forms; and the Formless Realm (無色界, Arūpadhātu), where beings exist purely as consciousness without physical form.",584,,
癡因緣,An Shigao,True,chī yīnyuán,Semantic,ignorance as a cause and condition; causes and conditions of delusion,avidyā-hetupratyaya,,,,"This term refers to ignorance (avidyā) as a fundamental cause and condition (hetupratyaya or nidāna) in the Buddhist understanding of suffering and liberation. It is often understood in the context of the twelve links of dependent origination (十二因緣), where ignorance is the first link.",4,,
名字,An Shigao,True,míngzi,Semantic,"name, designation, appellation",nāman,?,?,?,"In Buddhist contexts, 名字 (nāman) often refers to the mental or conceptual aspect of phenomena, contrasted with 色 (rūpa, form) in the concept of 名色 (nāmarūpa, name-and-form), one of the twelve links of dependent origination. It denotes the immaterial components of an individual.",22,,
六入,An Shigao,True,liù rù,Semantic,six entrances; six sense bases; six āyatanas,ṣaḍ-āyatana,,,,"Refers to the six sense bases or sense fields, comprising the six sense organs (eyes, ears, nose, tongue, body, mind) and their corresponding objects (forms, sounds, smells, tastes, tactile sensations, mental objects). It is one of the twelve links of dependent origination (pratītyasamutpāda).",162,,
痛痒,An Shigao,False,tòng yǎng,Generic phrase,pains and itching; suffering; distress; trouble; concern,,,,,"The term '痛痒' is a common Chinese phrase referring to physical discomforts like pain and itching, or more generally to suffering, distress, or trouble. While these sensations are discussed in Buddhist teachings, '痛痒' itself is not a specific technical Buddhist term but rather a generic descriptor.",46,,
愛,An Shigao,True,ài,Semantic,"love, affection, craving, attachment",prema,?,?,?,"The character '愛' generally means 'love' or 'affection'. In Buddhist contexts, it often translates *tṛṣṇā* (craving, attachment, thirst), which is identified as a primary cause of suffering and rebirth in the Four Noble Truths and Twelve Nidanas. It can also refer to positive forms of love, forming parts of terms like 慈愛 (cí'ài, loving-kindness, *maitrī*) and 悲愛 (bēi'ài, compassion, *karuṇā*).",261,,
受,An Shigao,True,shòu,Semantic,"feeling, sensation, reception",vedanā,?,?,?,"'受' is a fundamental Buddhist term, primarily referring to 'feeling' or 'sensation' (vedanā), which is one of the five skandhas (五蘊). It can also generally mean 'to receive', 'to accept', or 'to experience'.",252,,
有,An Shigao,True,yǒu,New meaning,"existence, being, to have, to be, conditioned existence (bhava)","bhāva, asti",?,?,?,"A fundamental concept in Buddhist philosophy, referring to 'existence', 'being', or 'conditioned existence' (bhava). It is a key term in the twelve links of dependent origination (十二因緣) and often contrasted with '空' (śūnyatā). It can also denote 'to have' or 'to possess'. Its specialized philosophical sense in Buddhism represents a 'new meaning' for the common Chinese character.",155,,
