term,term_introduced_by,document_frequency
裂愛網,Buddhabhadra,2
摩睺姤路,Buddhabhadra,2
治地住,Buddhabhadra,2
相續善根,Buddhabhadra,2
方便乘,Buddhabhadra,2
貪恚癡垢,Buddhabhadra,2
最上妙道,Buddhabhadra,2
平等正智,Buddhabhadra,2
常樂觀寂滅,Buddhabhadra,2
金剛誓,Buddhabhadra,2
清淨智行,Buddhabhadra,2
大地善根,Buddhabhadra,2
五欲利,Buddhabhadra,2
六情識,Buddhabhadra,2
種種樂說莊嚴藏菩薩,Buddhabhadra,2
諸地轉所住處,Buddhabhadra,2
集業身,Buddhabhadra,2
福伽羅想,Buddhabhadra,2
海會,Buddhabhadra,2
銅柱地獄,Buddhabhadra,2
清淨等心,Buddhabhadra,2
密身天,Buddhabhadra,2
淨剎海,Buddhabhadra,2
金剛莊嚴心,Buddhabhadra,2
善不善無記法行,Buddhabhadra,2
出生正法,Buddhabhadra,2
提賴,Buddhabhadra,2
一切世間無所著,Buddhabhadra,2
大智風輪,Buddhabhadra,2
大說法師,Buddhabhadra,2
隨喜想,Buddhabhadra,2
清淨深寂滅,Buddhabhadra,2
自在勝三昧,Buddhabhadra,2
餓鬼難,Buddhabhadra,2
諸地諸忍,Buddhabhadra,2
調御地,Buddhabhadra,2
如來境界法,Buddhabhadra,2
禪藏,Buddhabhadra,2
明淨身,Buddhabhadra,2
須彌山王心,Buddhabhadra,2
不好瞋恨,Buddhabhadra,2
聲聞道意,Buddhabhadra,2
優鉢羅華德藏菩薩,Buddhabhadra,2
菩薩諸陀羅尼,Buddhabhadra,2
大願神力,Buddhabhadra,2
諸地法門,Buddhabhadra,2
仁愛心,Buddhabhadra,2
行業境界,Buddhabhadra,2
近佛菩提,Buddhabhadra,2
五通聖人,Buddhabhadra,2
四辯力,Buddhabhadra,2
功德海藏,Buddhabhadra,2
火車地獄,Buddhabhadra,2
明淨法眼,Buddhabhadra,2
十種非法語,Buddhabhadra,2
四魔境,Buddhabhadra,2
那羅延德藏菩薩,Buddhabhadra,2
非色處,Buddhabhadra,2
等分煩惱,Buddhabhadra,2
梵化,Buddhabhadra,2
化生法中,Buddhabhadra,2
自在力雲,Buddhabhadra,2
虛器,Buddhabhadra,2
薩婆若地,Buddhabhadra,2
菩薩家心,Buddhabhadra,2
佛境界所入,Buddhabhadra,2
無礙法明,Buddhabhadra,2
菩薩寶慧,Buddhabhadra,2
閻羅王宮,Buddhabhadra,2
諸心心相,Buddhabhadra,2
不壞梵行,Buddhabhadra,2
一切種智地,Buddhabhadra,2
星王天子,Buddhabhadra,2
無量種智,Buddhabhadra,2
調柔可用,Buddhabhadra,2
菩薩離垢圓滿三昧,Buddhabhadra,2
佛持力,Buddhabhadra,2
無縛無著解脫心迴向,Buddhabhadra,2
三輪教化,Buddhabhadra,2
不善根行,Buddhabhadra,2
菩薩諸三昧門,Buddhabhadra,2
僧智,Buddhabhadra,2
隨順善根,Buddhabhadra,2
功德智慧藏,Buddhabhadra,2
破滅佛法,Buddhabhadra,2
世間悉迷惑,Buddhabhadra,2
功德藏寶,Buddhabhadra,2
淨月藏菩薩,Buddhabhadra,2
煩惱毒刺,Buddhabhadra,2
離曲,Buddhabhadra,2
八萬四千諸性,Buddhabhadra,2
式叉摩尼戒,Buddhabhadra,2
對治法門,Buddhabhadra,2
無礙解脫一切種智,Buddhabhadra,2
如來行境界,Buddhabhadra,2
大智慧光明三昧,Buddhabhadra,2
業藏,Buddhabhadra,2
無行無作,Buddhabhadra,2
法界王,Buddhabhadra,2
利安心,Buddhabhadra,2
壞散一切眾魔智幢王,Buddhabhadra,2
罪心火,Buddhabhadra,2
菩薩摩訶薩智地,Buddhabhadra,2
世間性集,Buddhabhadra,2
佛出世不可盡,Buddhabhadra,2
強力神,Buddhabhadra,2
最上慈,Buddhabhadra,2
喜愛淤泥,Buddhabhadra,2
大寶蓮華王,Buddhabhadra,2
趣佛智地,Buddhabhadra,2
現化身,Buddhabhadra,2
師子智慧,Buddhabhadra,2
恒沙化佛,Buddhabhadra,2
毛孔出化身雲,Buddhabhadra,2
一切智廣大心,Buddhabhadra,2
殊勝乘,Buddhabhadra,2
欲火燒,Buddhabhadra,2
無始來,Buddhabhadra,2
定不定法行,Buddhabhadra,2
食起身,Buddhabhadra,2
無使善根,Buddhabhadra,2
平等路,Buddhabhadra,2
三世轉,Buddhabhadra,2
慚愧衣服,Buddhabhadra,2
三淨眼,Buddhabhadra,2
樂觀寂滅法,Buddhabhadra,2
調御大師,Buddhabhadra,2
淨明威德王藏菩薩,Buddhabhadra,2
賢聖乘,Buddhabhadra,2
妙德幢佛,Buddhabhadra,2
普賢法門,Buddhabhadra,2
光耀三昧,Buddhabhadra,2
金剛焰德相莊嚴藏菩薩,Buddhabhadra,2
牛頭山,Buddhabhadra,2
須彌德藏菩薩,Buddhabhadra,2
正覺華,Buddhabhadra,2
諸願清淨,Buddhabhadra,2
鳩摩羅神,Buddhabhadra,2
寶華鬘雲,Buddhabhadra,2
淨果天,Buddhabhadra,2
一切相莊嚴淨德藏菩薩,Buddhabhadra,2
正受地,Buddhabhadra,2
除疑惑法,Buddhabhadra,2
深廣心,Buddhabhadra,2
明淨藏菩薩,Buddhabhadra,2
樓至佛,Buddhabhadra,2
智力身,Buddhabhadra,2
煩惱報,Buddhabhadra,2
和潤心,Buddhabhadra,2
智慧天冠,Buddhabhadra,2
寶雲光明,Buddhabhadra,2
多堪受,Buddhabhadra,2
天采女,Buddhabhadra,2
密身口意,Buddhabhadra,2
授記密,Buddhabhadra,2
無量智業,Buddhabhadra,2
虛空等如來,Buddhabhadra,2
法性界,Buddhabhadra,2
無礙智眼,Buddhabhadra,2
隨形好光,Buddhabhadra,2
有是非有,Buddhabhadra,2
菩薩密法,Buddhabhadra,2
無我界,Buddhabhadra,2
諸地成壞,Buddhabhadra,2
行願迴向,Buddhabhadra,2
大智自在,Buddhabhadra,2
精進不退功德,Buddhabhadra,2
煩惱塵垢,Buddhabhadra,2
功德河,Buddhabhadra,2
不死道,Buddhabhadra,2
少密身天,Buddhabhadra,2
說法界智,Buddhabhadra,2
因陀羅尼寶,Buddhabhadra,2
憎愛所縛,Buddhabhadra,2
不離念諸波羅蜜,Buddhabhadra,2
真實如如,Buddhabhadra,2
師子吼力王三昧,Buddhabhadra,2
惠施業,Buddhabhadra,2
生天業,Buddhabhadra,2
明智三昧,Buddhabhadra,2
究竟無礙智,Buddhabhadra,2
婆羅馬王,Buddhabhadra,2
菩薩諸願行,Buddhabhadra,2
了達不思議,Buddhabhadra,2
七覺義,Buddhabhadra,2
燒滅煩惱,Buddhabhadra,2
正心住,Buddhabhadra,2
一切衣座,Buddhabhadra,2
普賢智,Buddhabhadra,2
勤修諸苦行,Buddhabhadra,2
變化一切身,Buddhabhadra,2
辟支佛道集,Buddhabhadra,2
有無俱通達,Buddhabhadra,2
甘露法之食,Buddhabhadra,2
專求實義,Buddhabhadra,2
照一切世間莊嚴藏菩薩,Buddhabhadra,2
淨功德心,Buddhabhadra,2
老分,Buddhabhadra,2
大風性,Buddhabhadra,2
如來法王法,Buddhabhadra,2
轉依,Buddhabhadra,2
無縛無著解脫心善根,Buddhabhadra,2
瞿耶尼界,Buddhabhadra,2
三界無明稠林,Buddhabhadra,2
妙智慧幢,Buddhabhadra,2
大悲慈愍,Buddhabhadra,2
邪婬之罪,Buddhabhadra,2
金剛莊嚴胸,Buddhabhadra,2
灌子頂上,Buddhabhadra,2
無相莊嚴,Buddhabhadra,2
欲中間,Buddhabhadra,2
一切智心力,Buddhabhadra,2
正教道,Buddhabhadra,2
瑞應相,Buddhabhadra,2
如來智境界,Buddhabhadra,2
夜光菩薩,Buddhabhadra,2
障礙業,Buddhabhadra,2
法無盡性,Buddhabhadra,2
天摩尼寶,Buddhabhadra,2
淨想倒,Buddhabhadra,2
宿王光照藏菩薩,Buddhabhadra,2
三十想,Buddhabhadra,2
金剛樓閣,Buddhabhadra,2
菩薩慧方便,Buddhabhadra,2
惡魔伴,Buddhabhadra,2
如化身,Buddhabhadra,2
隨順菩提行,Buddhabhadra,2
諸法自在功德,Buddhabhadra,2
中陰相,Buddhabhadra,2
道場樹王,Buddhabhadra,2
除諸糞穢,Buddhabhadra,2
自在不動,Buddhabhadra,2
二資糧,Buddhabhadra,2
阿槃陀,Buddhabhadra,2
行願功德,Buddhabhadra,2
佛地智慧,Buddhabhadra,2
十種力地,Buddhabhadra,2
念佛三昧海,Buddhabhadra,2
不著諸趣,Buddhabhadra,2
清淨智眼,Buddhabhadra,2
佛法堂,Buddhabhadra,2
障礙煩惱,Buddhabhadra,2
一切摩尼寶座,Buddhabhadra,2
威神自在,Buddhabhadra,2
煩惱龍,Buddhabhadra,2
一切智集,Buddhabhadra,2
無二之法,Buddhabhadra,2
寂止樂,Buddhabhadra,2
魔軍眾心,Buddhabhadra,2
淨一切功德藏菩薩,Buddhabhadra,2
巧方便微密語,Buddhabhadra,2
不壞因緣,Buddhabhadra,2
三十六不淨,Buddhabhadra,2
七支具足,Buddhabhadra,2
大地等心,Buddhabhadra,2
善住世界,Buddhabhadra,2
不思議乘,Buddhabhadra,2
三世如來種,Buddhabhadra,2
須彌大山王,Buddhabhadra,2
方便合修行,Buddhabhadra,2
怛剎那,Buddhabhadra,2
增上心學,Buddhabhadra,2
戒藏,Buddhabhadra,2
苦惱趣,Buddhabhadra,2
諸佛所攝,Buddhabhadra,2
功用心,Buddhabhadra,2
菩薩智慧光明,Buddhabhadra,2
邪見障,Buddhabhadra,2
菩薩諸道,Buddhabhadra,2
捨欲而出家,Buddhabhadra,2
無量密身天,Buddhabhadra,2
闇想,Buddhabhadra,2
禪定解脫神通,Buddhabhadra,2
無異智慧,Buddhabhadra,2
白銀器,Buddhabhadra,2
菩薩十明,Buddhabhadra,2
一切法雨,Buddhabhadra,2
眾生無差別,Buddhabhadra,2
金剛為根,Buddhabhadra,2
訶梨那,Buddhabhadra,2
閻浮提微塵等劫,Buddhabhadra,2
無上色身,Buddhabhadra,2
如來大願,Buddhabhadra,2
智慧山王,Buddhabhadra,2
不壞信心,Buddhabhadra,2
多調柔,Buddhabhadra,2
最勝之境界,Buddhabhadra,2
兜率王,Buddhabhadra,2
身四威儀中,Buddhabhadra,2
身入母胎,Buddhabhadra,2
等心惠施,Buddhabhadra,2
海莊嚴藏菩薩,Buddhabhadra,2
清淨明徹,Buddhabhadra,2
隨順覺知,Buddhabhadra,2
境界持,Buddhabhadra,2
不取一切有,Buddhabhadra,2
禪葉,Buddhabhadra,2
威儀助法,Buddhabhadra,2
聖服幢世界,Buddhabhadra,2
無上智力,Buddhabhadra,2
三世法智,Buddhabhadra,2
六瘤成滿,Buddhabhadra,2
圓滿音聲,Buddhabhadra,2
法實性相,Buddhabhadra,2
最上明淨法門,Buddhabhadra,2
世間塵垢,Buddhabhadra,2
須彌山微塵等如來,Buddhabhadra,2
讚歎善哉雲,Buddhabhadra,2
廣大悲心,Buddhabhadra,2
陀羅尼辯才,Buddhabhadra,2
淨火珠,Buddhabhadra,2
瞋惱之罪,Buddhabhadra,2
百福相好,Buddhabhadra,2
盲冥眾生,Buddhabhadra,2
妙根,Buddhabhadra,2
正法船,Buddhabhadra,2
清淨平等滿足,Buddhabhadra,2
流光白骨,Buddhabhadra,2
一切世間平等,Buddhabhadra,2
寶馬藏相,Buddhabhadra,2
十力寶,Buddhabhadra,2
曼荼邏,Buddhabhadra,2
不好惱亂眾生,Buddhabhadra,2
普賢心,Buddhabhadra,2
菩提月,Buddhabhadra,2
八萬四千煩惱行,Buddhabhadra,2
無量億天女,Buddhabhadra,2
善憶念不忘,Buddhabhadra,2
眾生不可盡,Buddhabhadra,2
八萬四千諸業,Buddhabhadra,2
微密教,Buddhabhadra,2
三世不壞,Buddhabhadra,2
離世間住,Buddhabhadra,2
種種欲力,Buddhabhadra,2
達摩多羅禪經,Buddhabhadra,2
法界無自性,Buddhabhadra,2
住持身,Buddhabhadra,2
薩婆若城,Buddhabhadra,2
地天宮殿,Buddhabhadra,2
無上善知識,Buddhabhadra,2
轉法輪音,Buddhabhadra,2
功德海心,Buddhabhadra,2
說法句味,Buddhabhadra,2
栴檀器,Buddhabhadra,2
空王佛,Buddhabhadra,2
法界等無量迴向,Buddhabhadra,2
無非性,Buddhabhadra,2
正法趣,Buddhabhadra,2
無行智,Buddhabhadra,2
曼荼羅,Buddhabhadra,2
出息入息滅,Buddhabhadra,2
三昧魔,Buddhabhadra,2
童真住,Buddhabhadra,2
廣地,Buddhabhadra,2
謗正法人,Buddhabhadra,2
方便輪,Buddhabhadra,2
煖來,Buddhabhadra,2
流覺,Buddhabhadra,2
大歸依處,Buddhabhadra,2
菩薩智境界,Buddhabhadra,2
學智無學智,Buddhabhadra,2
如來鼻相,Buddhabhadra,2
如實法相,Buddhabhadra,2
菩薩奮迅,Buddhabhadra,2
菩薩決定心,Buddhabhadra,2
八萬四千諸法門,Buddhabhadra,2
不證離欲法,Buddhabhadra,2
妙法愛,Buddhabhadra,2
威儀海,Buddhabhadra,2
諸趣往來,Buddhabhadra,2
拔濟饒益,Buddhabhadra,2
識性集,Buddhabhadra,2
大乘境界,Buddhabhadra,2
無漏眼,Buddhabhadra,2
刪兜率天王,Buddhabhadra,2
金剛坐,Buddhabhadra,2
大乘弘願,Buddhabhadra,2
十力王,Buddhabhadra,2
不可得思量,Buddhabhadra,2
白淨果,Buddhabhadra,2
微妙法義,Buddhabhadra,2
